21,Gold,Macbook,816.78
22,Gold,WindowsPC,1910.66
23,Platinum,Macbook,1594.93
24,Silver,WindowsPC,1221.5
25,Platinum,Macbook,814.09
26,Silver,LinuxPC,1153.06
27,Platinum,Macbook,789.26
28,Gold,WindowsPC,1811.74
29,Gold,LinuxPC,1632.42
30,Platinum,LinuxPC,1821.42
31,Platinum,LinuxPC,1716.72
32,Gold,Macbook,1046.41
33,Silver,WindowsPC,1920.74
34,Silver,Macbook,1065.16
35,Gold,WindowsPC,1189.92
36,Platinum,WindowsPC,1002.74
37,Gold,Macbook,1153.07
38,Gold,WindowsPC,1284.77
39,Platinum,WindowsPC,1666.48
40,Platinum,LinuxPC,1050.04
