41,Platinum,Macbook,1392.36
42,Platinum,WindowsPC,1878.13
43,Gold,Macbook,1591.06
44,Platinum,LinuxPC,1846.31
45,Gold,WindowsPC,567.4
46,Silver,Macbook,1657.86
47,Gold,Macbook,1607.1
48,Gold,WindowsPC,1432.85
49,Platinum,Macbook,649.48
50,Silver,Macbook,507.15
51,Gold,LinuxPC,1212.82
52,Platinum,LinuxPC,1175.89
53,Gold,LinuxPC,1520.38
54,Silver,LinuxPC,1040.86
55,Silver,WindowsPC,517.18
56,Silver,WindowsPC,1055.88
57,Platinum,WindowsPC,511.37
58,Silver,LinuxPC,872.99
59,Platinum,LinuxPC,1551.44
60,Gold,WindowsPC,1819.52
