1,Gold,Macbook,1783.81
2,Platinum,Macbook,1778.1
3,Platinum,WindowsPC,1810.79
4,Silver,Macbook,1532.18
5,Platinum,Macbook,555.46
6,Silver,Macbook,720.74
7,Gold,LinuxPC,1524.31
8,Platinum,WindowsPC,766.63
9,Silver,Macbook,1715.43
10,Silver,LinuxPC,647.38
11,Platinum,LinuxPC,1696.37
12,Silver,LinuxPC,1099.29
13,Platinum,LinuxPC,1449.88
14,Gold,WindowsPC,1899.13
15,Platinum,Macbook,607.35
16,Gold,LinuxPC,1558.67
17,Silver,LinuxPC,840.14
18,Silver,LinuxPC,1859.4
19,Platinum,LinuxPC,671.1
20,Platinum,LinuxPC,715.6
