61,Platinum,LinuxPC,1747.48
62,Platinum,WindowsPC,694.14
63,Gold,LinuxPC,1287.5
64,Silver,Macbook,1639.11
65,Platinum,Macbook,1843.28
66,Gold,LinuxPC,1873.84
67,Gold,WindowsPC,529.83
68,Platinum,Macbook,676.68
69,Platinum,WindowsPC,1889
70,Platinum,Macbook,1641.6
71,Silver,WindowsPC,859.03
72,Gold,WindowsPC,521
73,Platinum,Macbook,549.32
74,Platinum,LinuxPC,1649.97
75,Platinum,LinuxPC,1004.59
76,Silver,Macbook,866.47
77,Platinum,Macbook,1716.53
78,Platinum,LinuxPC,1605.78
79,Silver,WindowsPC,831.76
80,Gold,WindowsPC,1557.01
